userIncorrect,answer3Script,answer1Audio,answer1,answer3,answer2,testDate,isAnswered,testType,id,levelName,directionsAudio,answer3Audio,multiItemID,section,isCorrect,question,userCorrect,questionScript,multiItemQIDs,answer4,test,typeName,questionAudio,type,questionNumber,typeID,levelNumber,multiItem,testNumber,itemAudio,itemScript,correctAnswer,key,answer1Script,directions,sectionNumber,answer4Audio,isMultiItem,answer4Script,level,createdDateTime,sectionName,item,points,answer2Script,userAnswering,answer2Audio
,,,주말,저녁,다음,2011-04-17T00:00:00,True,international,22005,Elementary,,,,31002,True,"<div class=""dialogue"">가: 내일 <u>오후</u>에 갈까요?</div>
<div class=""dialogue"">나: 아니요, ( )에 오세요.</div>",4,,,오전,22003,antonym,,28004,4,28004,1,,22,,,4,22005,,※ [3～5] &lt;보기&gt;와 같이 밑줄 친 부분과 반대되는 뜻을 가진 것을 고르십시오. (각 3점),1,,False,,31001,2011-07-08T23:34:45,Vocabulary and Grammar,,3,,True,
,,,누가,어디,무슨,,,,22006,,,,,,,교실에 ( ) 왔어요?,,,,무엇,,,,,0,,,,,,,1,22006,,,,,,,,2011-07-09T00:00:59,,,,,,
,,,노래를 <u>합시다</u>.,병원에 <u>갑시다</u>.,버스를 <u>탑시다</u>.,,,,22009,,,,,,,,,,,친구한테 <u>묻읍시다</u>.,,,,,0,,,,,,,4,22009,,,,,,,,2011-07-09T00:58:13,,,,,,
,,,소개한,부탁한,설명한,2011-04-17T00:00:00,,international,22012,Elementary,,,28010,31002,,㉡에 알맞은 것을 고르십시오. (3점),,,"[33012L, 22012L]",복사한,22003,passage dialogue,,22011,28,22011,1,28010,22,,,4,22012,,※ [27～28] 다음을 읽고 물음에 답하십시오.,1,,True,,31001,2011-07-09T01:23:12,Vocabulary and Grammar,"<div class=""dialogue"">가: 어떻게 오셨어요?</div>
<div class=""dialogue"">나: 컴퓨터 수업을 듣고 싶은데요. 신청서를 어디에 ( ㉠ )?</div>
<div class=""dialogue"">가: 저에게 주시면 됩니다. 여권도 같이 주세요. 한 장 ( ㉡ ) 후에 드릴게요.</div>
<div class=""dialogue"">나: 네. 여기 있습니다.</div>",3,,,
,,,언제 가요,어디에 가요,어떻게 가요,2011-04-17T00:00:00,True,international,22013,Elementary,,,,32007,True,"<div class=""dialogue"">가: _____________________________?</div>
<div class=""dialogue"">나: 금요일에 가요.</div>",1,,,누구하고 가요,22003,choose sentence,,34017,34,34017,1,,22,,,1,22013,,※ [31~35] &lt;보기&gt;와 같이 빈칸에 알맞은 것을 고르십시오. (각 4점),2,,False,,31001,2011-07-09T03:27:40,Writing,,4,,,
1,,,①,③,②,2011-04-17T00:00:00,True,international,22015,Elementary,,,,32007,False,"다음 글에서 알맞지 <u>않은</u> 것을 고르십시오. (4점)
<div class=""boxedpart""><p class=""indent"">
①<u>어제 친구와 싸워서 기분이 좋지 않았습니다</u>. 
②<u>저는 기분이 안 좋으면 혼자 공원에 가서 산책을 합니다</u>. 
③<u>어제도 공원에 가서 산책을 했습니다</u>. 
④<u>산책을 한 후에 기분이 좋아질 겁니다</u>.
</p></div>",4,,,④,22003,writing answer question,,34019,39,34019,1,,22,,,4,22015,,※ [38~41] 다음 물음에 답하십시오.,2,,False,,31001,2011-07-09T03:43:45,Writing,,4,,,
,,,거울,의자,시계,2011-04-17T00:00:00,True,international,28002,Elementary,,,,31002,True,"<img src=""/topik/t22-l1-p1b-q01.png"" class=""floatright"" />
<div class=""dialogue"">가: 이것이 무엇입니까?</div>
<div class=""dialogue"">나: (	)입니다.</div>",2,,,창문,22003,picture to word,,33001,1,33001,1,,22,,,2,28002,,※ [1~2] &lt;보기&gt;와 같이 그림을 보고 ( )에 알맞은 것을 고르십시오. (각 3점),1,,False,,31001,2011-07-08T23:10:25,Vocabulary and Grammar,,3,,True,
,,,봐요,와요,사요,2011-04-17T00:00:00,True,international,28003,Elementary,,,,31002,True,"<img src=""/topik/t22-l1-p1b-q02.png"" class=""floatright"" />
<div class=""dialogue"">가: 지금 뭐 해요?</div>
<div class=""dialogue"">나: 잠을 ( ).</div>",4,,,자요,22003,picture to word,,33001,2,33001,1,,22,,,4,28003,,※ [1~2] &lt;보기&gt;와 같이 그림을 보고 ( )에 알맞은 것을 고르십시오. (각 3점),1,,False,,31001,2011-07-08T23:13:37,Vocabulary and Grammar,,3,,True,
2,,,나가 봤어요,나간 것 같아요,나가야 돼요,2011-04-17T00:00:00,True,international,28005,Elementary,,,,31002,False,"(3점)
<div class=""dialogue"">가: 민수 씨는 아직 안 왔어요?</div>
<div class=""dialogue"">나: 잠깐 밖에 ( ).</div>",3,,,나가려고 해요,22003,choose sentence ending,,22007,19,22007,1,,22,,,3,28005,,※ [16～19] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:33:02,Vocabulary and Grammar,,3,,True,
4,,,여기에서 멀지 않으니까 <u>걸어서</u> 갈까요?,지하철 안에서 보통 음악을 <u>들거나</u> 책을 봐요.,어제 옷을 얇게 <u>입어서</u> 감기에 걸렸어요.,2011-04-17T00:00:00,True,international,28007,Elementary,,,,31002,False,,3,,,날씨가 좀 <u>추운</u> 것 같으니까 창문을 닫아 주세요.,22003,choose incorrect sentence,,35007,24,35007,1,,22,,,3,28007,,※ [23～24] &lt;보기&gt;와 같이 밑줄 친 부분이 <u>틀린</u> 것을 고르십시오. (각 3점),1,,False,,31001,2011-07-09T00:59:57,Vocabulary and Grammar,,3,,True,
